Fechas,Presión
2017/5/15 18:40:00,950.3567
2017/5/15 18:50:00,950.5208
2017/5/15 19:00:00,950.533
2017/5/15 19:10:00,950.7784
2017/5/15 19:20:00,950.9398
2017/5/15 19:30:00,951.1255
2017/5/15 19:40:00,951.2015
2017/5/15 19:50:00,951.4578
2017/5/15 20:00:00,951.5662
2017/5/15 20:10:00,951.7533
2017/5/15 20:20:00,951.8035
2017/5/15 20:30:00,951.8428
2017/5/15 20:40:00,951.9241
2017/5/15 20:50:00,951.9608
2017/5/15 21:00:00,951.8808
2017/5/15 21:10:00,951.8333
2017/5/15 21:20:00,951.8306
2017/5/15 21:30:00,951.6584
2017/5/15 21:40:00,951.6313
2017/5/15 21:50:00,951.6313
2017/5/15 22:00:00,951.6828
2017/5/15 22:10:00,951.756
2017/5/15 22:20:00,951.7764
2017/5/15 22:30:00,951.8035
2017/5/15 22:40:00,951.7845
2017/5/15 22:50:00,951.7777
2017/5/15 23:00:00,951.7289
2017/5/15 23:10:00,951.6299
2017/5/15 23:20:00,951.6621
2017/5/15 23:30:00,951.6738
2017/5/15 23:40:00,951.7782
2017/5/15 23:50:00,951.9449
2017/5/16 0:00:00,952.0875
2017/5/16 0:10:00,952.1348
2017/5/16 0:20:00,952.2028
2017/5/16 0:30:00,952.249
2017/5/16 0:40:00,952.3242
2017/5/16 0:50:00,952.3226
2017/5/16 1:00:00,952.2922
2017/5/16 1:10:00,952.3436
2017/5/16 1:20:00,952.4482
2017/5/16 1:30:00,952.434
2017/5/16 1:40:00,952.3444
2017/5/16 1:50:00,952.3592
2017/5/16 2:00:00,952.4016
2017/5/16 2:10:00,952.4545
2017/5/16 2:20:00,952.4834
2017/5/16 2:30:00,952.3857
2017/5/16 2:40:00,952.4504
2017/5/16 2:50:00,952.5185
2017/5/16 3:00:00,952.5468
2017/5/16 3:10:00,952.4753
2017/5/16 3:20:00,952.4928
2017/5/16 3:30:00,952.4603
2017/5/16 3:40:00,952.4494
2017/5/16 3:50:00,952.4725
2017/5/16 4:00:00,952.4142
2017/5/16 4:10:00,952.3531
2017/5/16 4:20:00,952.3304
2017/5/16 4:30:00,952.2609
2017/5/16 4:40:00,952.2204
2017/5/16 4:50:00,952.0461
2017/5/16 5:00:00,952.0005
2017/5/16 5:10:00,952.0426
2017/5/16 5:20:00,952.1358
